      Unnamed: 0                                                        product_name product_price     weight            category                EAN date_added                                  uuid          removed product_code
856          856                                           Mobel Kids Table & Chairs        £35.00        7.0            homeware      7707586547235 1993-02-28  3882bdd7-a791-40bc-bf99-75aa39a42bac  Still_avaliable  m6-6523339g
370          370                                 Scooby Snacks Steak Sensations 700g         £3.25        0.7                pets      6865512799255 1993-03-03  91425b04-8918-405a-a1f8-41535d54a86d  Still_avaliable  w5-2396152m
660          660                                                   Dried Grass Bunch         £6.00      0.061            homeware      5172876538583 1993-03-06  f5036aaa-663b-43a8-ae99-a06402490fd9  Still_avaliable  C2-2838299q
870          870                         Heidi Vanity Set with Stool & Mirror - Grey        £30.00       12.3            homeware      4293577538618 1993-03-07  744f6afe-1369-40e8-b3c6-2ebb8e008185  Still_avaliable  b5-8856163k
1338        1338                                Christmas Oil Burner - Candid Orange         £4.00       0.26            homeware      4503024012401 1993-03-08  f54c9d1a-3e1f-4b46-b3a9-5e23f08b3a50  Still_avaliable  C2-8136994C
1416        1416                                         Natural Home Tapered Candle         £3.00       0.42            homeware      1322465826131 1993-03-18  2a679c4d-011b-44ad-b2ce-1ae24445c8db          Removed  T0-8451630z
281          281                                                Peppa Pig Artist Pad         £2.99       0.48  sports-and-leisure      7424656233170 1993-03-22  57d14489-3373-482e-88ae-8a03af60aa45  Still_avaliable  M2-6607328s
1152        1152                        Lokken 1-2-3 Shelving Unit & Baskets - White        £38.00       13.5            homeware      7617057487871 1993-03-24  d5acceea-4738-47b6-b271-4fb01bdd16bf  Still_avaliable  W3-6815683j
159          159                                  LEGO Marvel Spiderman Venom Figure        £21.99        0.3      toys-and-games      4344520800006 1993-03-31  6c2939d7-a416-4e9c-a30a-5328976516fe  Still_avaliable  R3-6607889w
641          641                                      Adjustable Drawer Dividers 2pk         £3.00        0.3            homeware      6953608083927 1993-04-10  0bf298c1-c56b-46a2-b4b8-267cfeead85a  Still_avaliable   u8-403469I
1057        1057                                     Aurora Tassel Cushion - Natural        £14.00       0.51            homeware       308807219497 1993-04-12  6783f0f5-0519-41c3-95b8-78dfb567be56  Still_avaliable  r8-7159951p
1220        1220                                             White Vase with Berries         £6.00       0.35            homeware      5598460581160 1993-04-14  6a470140-8580-4e08-abc2-4003072d914c  Still_avaliable  b7-6875538O
559          559                          Spaceways Padstow Metal Coat Stand - Black        £22.00        3.2            homeware      3983130512872 1993-04-15  5a4956e9-a79f-47a7-9247-60282666c4fc  Still_avaliable  x7-5152681z
386          386                  Sheba Classics Ocean Selection in Terrine 12 x 85g         £4.29   12 x 85g                pets      7407445491692 1993-04-22  e4b978ae-fe4d-4118-a9f8-f8cbd8ff1c71  Still_avaliable  i3-7714502N
388          388                          Garfield Supremies 300g - Chicken & Cheese         £3.25        0.3                pets      7034206701310 1993-04-23  5d935ce2-6a0e-400d-b59a-1c8fe91fda06  Still_avaliable  Y1-8673953Z
228          228                                     Teletubbies Super Soft Toys 4pk        £20.00      0.443      toys-and-games      1218119296286 1993-04-29  df72436a-f6ac-4d87-a737-8cc8550e5cf5  Still_avaliable   E8-639928r
269          269                                  Hobby World Clear PVA Glue - Clear         £1.50      0.365  sports-and-leisure      6951920276553 1993-04-30  777c2ca0-e20b-4749-888c-2d1feac3d1ca  Still_avaliable  J3-3889164t
436          436                                   Lokken Display Wall Shelf - Black         £7.00        4.1            homeware      6024773906554 1993-05-01  e802a910-5726-449d-bede-16a072fbe7c7          Removed  m1-8699643C
876          876                             Alaska Faux Fur Rug 100 x 150cm - Cream        £30.00       1.32            homeware      2680371192542 1993-05-01  1ba6aa24-a3a1-4e61-baa2-feb65bd7d5a0  Still_avaliable  J5-0688169b
100          100                                    Light Up Crystal Canvas - Wolves        £12.99       0.96      toys-and-games      6582697703883 1993-05-06  904b6add-bf19-44e7-9bff-a9ce957407f4  Still_avaliable  X2-5848901O
618          618                                           Gold Candle Holder - Star         £2.50      0.045            homeware      9399366110944 1993-05-08  699b2eef-84b5-4cdb-9170-433bd8a9d122  Still_avaliable  g6-1398135v
489          489                                      Cable Knit Sherpa Throw - Navy        £15.00        0.9            homeware      8075399306516 1993-05-10  9413d2f4-e99d-4645-a77b-58383daf5c55  Still_avaliable  H3-3617646l
1141        1141                                    Tromso Round Multi-Section Shelf        £18.00        1.7            homeware      8261701942033 1993-05-13  af7aec0c-c130-41cd-95d2-850d653ebd3c  Still_avaliable   F9-780458R
200          200                   WWE Roman Reigns vs Finn Balor Action Figures 2pk        £13.99      0.313      toys-and-games      3203665533266 1993-05-22  619318fa-a579-4abb-a193-4f7f10fc2d87  Still_avaliable  I2-2733311R
1673        1673                                  L'Or Classique Instant Coffee 165g         £4.79      0.165      food-and-drink      1522981646811 1993-05-29  fb2444c5-d547-489f-83f7-e3ae51261bc6  Still_avaliable  D7-3949386Q
1125        1125                                                  Ceramic Oil Burner         £4.00       0.43            homeware      8347351656626 1993-06-15  c69d5c24-3fef-4e31-aa0f-387d74500ed1  Still_avaliable  q2-2209449E
1433        1433                                                  Maine Ladder Shelf        £35.00        6.4            homeware      7094347155663 1993-06-19  1060bbc4-5996-4186-9ee8-d7af83dbde5a          Removed  O7-4698144b
45            45                                              Rainbow Inline Scooter        £18.99       2.57      toys-and-games      7013124813893 1993-06-22  9a6453f2-06a8-43f8-b436-4d344f61f297  Still_avaliable   H9-403416k
776          776                                Maine 3 Tier Corner Shelving - White        £15.00        2.4            homeware      5789341271144 1993-06-29  7622c284-24df-4ec2-a3f9-2f63bf50e297          Removed  l9-2511507d
1794        1794                                            Pastazara Spaghetti 500g         £0.75        0.5      food-and-drink      9474338492454 1993-06-30  ffd93ecd-793f-4acb-8d9b-9ac75856b60f  Still_avaliable  X0-8127709C
303          303                                           Chappie Dog Food 6 x 412g         £5.99   6 x 412g                pets      8155594260063 1993-06-30  6b86f83c-fccf-42eb-b1d5-3971915c18a5  Still_avaliable   Z4-535642u
562          562                                                   Alva Clothes Rail        £20.00        2.5            homeware      6798888502436 1993-07-05  5fffcf33-ccbb-4203-8830-5c4c4854a9d8  Still_avaliable  o2-3674957Q
1325        1325                                   Winter Spice Christmas Jar Candle         £4.00      0.795            homeware      9477741562653 1993-07-06  9c9ee3cd-33fc-4979-8b81-0495488fb8d0  Still_avaliable  u6-5069167t
1573        1573                                      Walls Twister Bath Fizzer 200g         £1.00        0.2   health-and-beauty       929429675821 1993-07-11  7472692a-3575-4f75-9d90-739497f803a2  Still_avaliable  y0-2225545Q
464          464                      Home Collection Faux Mink Throw - Coconut Milk        £20.00       1.65            homeware      6368703408269 1993-07-28  2f71bd34-4e24-4c2e-a6f8-7ff7cb5248a4  Still_avaliable  m2-8979201X
150          150                                                 Mario Kart RC Track        £19.99        1.4      toys-and-games      8860665985584 1993-08-04  eae64f30-531e-4b65-b9f2-8d66a48eb121  Still_avaliable  q2-3515917p
954          954                     Glow in the Dark Dinosaur 9 Tub Storage Drawers        £25.00       12.0            homeware      9416116745581 1993-08-17  95da6de5-7918-4698-97a4-1b5d941287ec  Still_avaliable  F2-5644181U
1589        1589                          Me to You Hot Chocolate Stirrer 30g - Mint         £1.00       0.03      food-and-drink      6253325540926 1993-08-18  bf017e9d-8b26-4ee8-af6e-ad16e5a29ef0  Still_avaliable  B1-5338395a
958          958                               Spaceways 4 Tier Extendable Shoe Rack        £16.00       2.06            homeware      6179401281548 1993-08-21  9ee83575-1d98-4ad8-a104-f07f48aad42c  Still_avaliable  w8-1645356Y
743          743      Versailles Silver Crushed Velvet Fully Lined Curtains 46 x 72"        £30.00       2.03            homeware    335080471900288 1993-08-25  7a446d4e-1f19-477f-bf87-7c35c0111a74  Still_avaliable  V6-3788246p
1282        1282                    Rubin Crinkle Double Duvet Set with Ties - Black        £20.00       1.45            homeware      3896435644547 1993-09-09  ef4b6700-2fe5-4321-8924-4bd257819159  Still_avaliable  U3-9161627W
638          638                                                 Jewellery Box - Bee         £4.00        0.1            homeware      2175402847916 1993-09-11  a846e8c0-c2d8-4897-b81f-a0e3035bb192  Still_avaliable  R4-5765709c
1761        1761                                        Cadbury Festive Friends 150g         £0.89       0.15      food-and-drink       811799592207 1993-09-12  e250598a-b17f-432b-9c0d-b45780cf88be  Still_avaliable  P4-3721409s
355          355            Doggie Delights Dog Treats 160g - Sweet Potato & Chicken         £2.00      0.125                pets      8715630733960 1993-10-07  b43ffe4d-d800-474d-a3e1-6115b7edc145  Still_avaliable  v1-5018743H
1326        1326                             Gingerbread Cookie Christmas Jar Candle         £4.00      0.795            homeware      1709102568690 1993-10-10  d07613bc-f543-44c4-8b67-ca96d6aefa52          Removed  H8-6325650q
1655        1655                         Highland Directors Selection Shortbread 1kg         £4.00        1.0      food-and-drink      8904266960257 1993-11-03  39c169d8-aa5a-41cd-8af3-c9dbde6bf770  Still_avaliable    b3-13623X
1523        1523                             Luxury Faux Fur Rug 100 x 150cm - Blush        £45.00        2.4            homeware       632648031766 1993-11-05  2e6d7de4-4e71-4fe5-9d19-f4bbbea58607  Still_avaliable  S9-8283571O
482          482                     Rubin Crinkle Double Duvet Set with Ties - Mink        £20.00       1.45            homeware      4839403276479 1993-11-13  d65f9dce-5ef9-4c71-806c-5496690ca331          Removed  n4-3918150w
556          556                                                Stag Tealight Holder         £5.00        0.3            homeware      8829824728202 1993-11-16  a31a6141-af55-4f4f-8eda-942a82fdbf5b  Still_avaliable  O2-5972490P
724          724             Charcoal Jasmine Sparkle Velvet Eyelet Curtain 66 x 90"        £39.99        3.4            homeware       887821781178 1993-11-20  6d174960-8e35-42e9-b5a0-89aee9402b8c  Still_avaliable  E3-4744298Q
234          234                        In The Night Garden Sleepy Time Iggle Piggle        £24.99       0.37      toys-and-games      1961446134478 1993-11-23  e764c4b1-4f33-4952-81bf-f5adecc1bad6  Still_avaliable  p0-3415214B
123          123                       The LEGO Speed Champions 007 Aston Martin DB5        £17.99       0.34      toys-and-games      7960969702199 1993-11-26  c9966021-7d36-4b19-a353-37f7dada7eb3  Still_avaliable  f9-4142875O
1850        1850                                            RAC 12V Wet & Dry Vacuum        £18.00       0.82                 diy      3113855860327 1993-11-28  66d3efa0-f480-4da9-893b-e8aaff53e27b  Still_avaliable  n4-1642658b
1075        1075                                    Hampton Cushion 48 x 48cm - Grey         £8.00       0.22            homeware      9437310017342 1993-11-29  4a9f8d20-a1a0-4c84-8839-077e0e982324  Still_avaliable  C3-1204253T
889          889                                    Nordic Cream Fur Rug 100 x 150cm        £45.00        1.8            homeware      3981700878977 1993-12-02  3524e714-a818-4477-bd7d-e6a88a732d41  Still_avaliable  V8-5723688j
695          695                                   Tealight Holder - Gingerbread Man         £2.50      0.165            homeware      1791516386632 1993-12-16  87782484-51c2-4ebe-9cf9-bf2145c57f96  Still_avaliable  w3-9389488J
328          328                                Sweetie Paws Pawtisserie Meaty Chocs         £2.50      0.096                pets      8633725296452 1993-12-20  37e999df-1724-4ad9-8a11-6e8bccdbdf3d  Still_avaliable   P9-746276x
897          897                                Chunky Knit Rug 100 x 150cm - Silver        £45.00       3.75            homeware      9630686226435 1994-01-06  09f57b76-c559-4e11-9d48-5997121cc1cf  Still_avaliable  V9-0206600V
1533        1533                              Aspen Faux Fur Rug 100 x 150cm - Black        £45.00     0.0024            homeware      4872266067112 1994-01-08  0c45e074-582b-4175-951d-d68edcb9336f  Still_avaliable  g7-6639699K
1602        1602                               Milkybar Cookies Bar (Australia) 180g         £2.99       0.18      food-and-drink      9226672733027 1994-01-11  e81ebfe9-a0b6-41c4-8791-f8f3e8166fbe  Still_avaliable  O0-4634841N
1068        1068                                  Basket Weave Velvet Cushion - Sage        £12.00       0.27            homeware      5172305016835 1994-01-15  bd14535c-1892-4d48-9621-861318c918f5  Still_avaliable  T8-3656770w
1364        1364                              Christmas Oil Burner - Christmas Clove         £4.00       0.26            homeware      1684956217294 1994-01-21  7f4e3b53-bbca-4d06-a477-de9e6c63bb36  Still_avaliable  U1-5362842b
333          333                                             POW Medium Meaty Twists         £2.50      0.128                pets      6911232629676 1994-02-04  3f2955a0-aa96-4d0e-aa57-29cd4d02c308          Removed   H7-080976g
541          541                                            Woven Cushion - Chestnut         £8.00       0.54            homeware      7140822527743 1994-02-04  3d52d5b4-35b3-43dc-ac6f-feb37eadd142  Still_avaliable  X3-9039564v
492          492                            Fleece Cable Knit King Duvet Set - Cream        £35.00        2.8            homeware      4962153071862 1994-02-17  2c7aa721-4990-4ce3-9e25-af2244989ef6  Still_avaliable  b8-7429081R
580          580                                            Norvik Desk with Shelves        £60.00       23.9            homeware      5809970730086 1994-02-18  5929e936-5d4b-43db-b692-ba4f8e448e95  Still_avaliable  u1-7359022u
735          735       Colorado Hopsack Fully Lined Eyelet Curtain 46 x 72" - Silver        £19.99       1.63            homeware      2043868158771 1994-02-18  5a18a8eb-b280-4b26-849c-86522dca35fa  Still_avaliable  n3-4943958a
255          255                        Brick by Brick Heroes Figure Collection 40pk        £12.99      0.378      toys-and-games      6367364685187 1994-03-16  b9c97cf6-89a9-465d-a757-0ba5238aed3a  Still_avaliable   N5-323620S
326          326                                       POW Roar Some Bites - Chicken         £2.19       0.12                pets      1446770690062 1994-03-17  09148ad4-a515-423d-9b16-e114cf66f312  Still_avaliable  V5-7415195t
1560        1560                               Sudocrem Antiseptic Healing Cream 60g         £1.99       0.06   health-and-beauty       421910367913 1994-03-17  ad2dd30b-ea14-42ce-9bd6-ca013b4d4cfa  Still_avaliable  T0-2134293t
299          299                             Cesar Country Kitchen Dog Food 8 x 150g         £5.49   8 x 150g                pets      5158002633117 1994-03-22  c379d810-61bf-4ed2-994c-0d3308d5be7b  Still_avaliable  M4-1688574Q
853          853                                      Moden Velvet Bar Stool - Blush        £35.00        9.0            homeware      8267483272139 1994-03-23  fa7d0ea4-a433-44f4-9b4f-37cc719c5025  Still_avaliable  N4-9903639L
705          705                                   Tufted Leaf Voile 55 x 90" - Sage        £10.00       0.37            homeware      3917851674694 1994-03-29  eb68820e-26bc-49d5-a86e-98e87b8df45a  Still_avaliable  o6-5976806E
817          817                   Lokken Tall 4 Cube Basket Storage Shelves - White        £25.00       11.0            homeware      9192144318958 1994-04-05  3eeb74f0-5eda-4900-a4ef-4db922c7059c  Still_avaliable  h2-3791349W
802          802                                 Micro Plush Rug 110 x 160cm - Blush        £19.99       1.47            homeware      3385249499301 1994-04-09  81625f9f-92db-4ab4-8c67-239e7fe007c2  Still_avaliable  k4-1335782J
1628        1628                                             Haribo Giant Trees 160g         £0.89       0.16      food-and-drink      1202239911648 1994-04-10  2b2ce98b-1bd5-47cc-998c-bf4170b635be  Still_avaliable  O9-0428769j
573          573                                            Spaceways Tall Shoe Rack        £25.00        4.3            homeware      5710837426038 1994-04-18  4bed2456-3175-4d93-b691-50333ff3056c  Still_avaliable  v0-0322422o
232          232                                     Scruff-a-Luvs Evergreen Rainbow        £14.99       0.21      toys-and-games      4299756975175 1994-04-20  2218f5ab-4738-44e2-93a6-ea9d1e0005cf  Still_avaliable  T0-7447903S
1709        1709                               Heinz Seriously Good Mayonnaise 800ml         £2.79        0.8      food-and-drink      9425933566156 1994-05-01  a5e2458f-8574-4184-a4a3-382b5d504ba4  Still_avaliable  z2-6315766u
153          153                                  LEGO Black Panther Shuri's Sunbird        £44.99       0.63      toys-and-games      2065784610775 1994-05-18  3f881809-59a8-4cdc-b9d9-be741d64c993  Still_avaliable  Q1-3426507j
184          184                                           Zuru 36pk Dart Refil Pack         £4.00       0.06      toys-and-games      3548855043355 1994-05-21  b7a77653-d4f6-4906-a237-88a85288c761  Still_avaliable  V7-4272231q
1290        1290                                         Lara King Duvet Set - Cream        £25.00      1.675            homeware       276952744921 1994-05-22  794e344c-0af7-47d3-a226-66d82da15277  Still_avaliable  D3-6309758w
880          880                                     Buddy Rug 80 x 120cm - Charcoal        £30.00        2.2            homeware      5062768745215 1994-05-25  3c7ea7e6-5145-47e6-88f1-23baa95b35dd          Removed  u8-7106143w
706          706                               Tufted Leaf Voile 55 x 90" - Moonbeam        £10.00       0.37            homeware      3866072827108 1994-05-28  5d44e621-365e-4e47-8f8c-6c531daf447c  Still_avaliable  a3-8504931p
1098        1098                                       Kent Faux Fur Cushion - Brown        £12.00       0.45            homeware      4345258318757 1994-05-30  9b3ae11f-0643-4ec0-b219-ae86a88a937f  Still_avaliable  p2-5076628D
887          887                                  Micro Plush Rug 110 x 160cm - Sage        £25.00       1.47            homeware      1085588295603 1994-06-04  7224a11a-67b0-4c71-95c5-77c213903399  Still_avaliable  v1-8704395l
1554        1554                               Raspberry Bath Fizzer 130g - Starfish         £1.00       0.13   health-and-beauty      6027244046490 1994-06-10  467277c0-6abb-4912-8a04-dfd686ab3069  Still_avaliable  h4-5937223J
366          366                         Fisherman's Dog Treats 100g - Salmon Slices         £1.99        0.1                pets      9223133740563 1994-07-08  a0f22073-25e9-4580-b3c3-490305d8a4d4  Still_avaliable  H5-3106509M
68            68                                         Make Your Own Super Spa Set         £7.00        0.7      toys-and-games      2803209036843 1994-07-10  bf28eeac-1a5f-45fd-ae7a-c38a12ac3785  Still_avaliable  r5-2078732l
771          771                                                Maine White Tall Boy        £60.00       12.1            homeware      7120980091652 1994-07-11  e9a16169-9814-459f-ad3d-da97cf6812e8  Still_avaliable  f9-0218647s
677          677                                     Candles with Wreath 2pk - Berry         £5.00       0.06            homeware       960245689678 1994-07-12  0415bf6a-fd4c-4efe-a167-81d9ef0149fd  Still_avaliable  q9-5051383B
1404        1404                                      Waffle Faux Fur Cushion - Grey        £10.00       0.27            homeware      9577263313259 1994-07-25  87197035-3994-450d-87a5-eb66aac70fb7  Still_avaliable  P5-6633968v
1344        1344                              Christmas Scented Candle - Santa Clove         £2.50       0.22            homeware      1670177714254 1994-07-29  8cca56e2-7171-4671-a150-143485e43367  Still_avaliable  x2-5439973l
1349        1349                         Woodland Nature Berry Candle - Gold Glitter         £7.00       0.28            homeware      7815483064684 1994-07-30  5a398b9c-327c-4ae9-8d43-447ebcf4e65f  Still_avaliable  T2-6034855K
240          240                                       Apple Tree Toys Wooden Blocks        £12.99        1.7      toys-and-games      9850741872272 1994-07-31  39f8025e-72ff-4f61-ac8f-c6a32fffab5c  Still_avaliable  e6-8023124V
531          531                          Woodland Nature Berry Candle - Red Glitter         £7.00       0.28            homeware      2785338839734 1994-08-13  fcc5c06a-69e4-4689-babf-a3d8c502dc1a  Still_avaliable  B2-8859481q
1195        1195                                               Alva 3 Cube Bookshelf        £40.00       13.0            homeware      3804065477275 1994-08-16  1a1d8ef6-95fb-47c4-a9c6-e6f0056644f6  Still_avaliable  C7-3857737s
96            96                                        Crystal Creations - Elephant         £4.00      0.353      toys-and-games      7019306776826 1994-08-24  449165b8-f544-4af2-998b-52420b858f08  Still_avaliable  p9-7606658G
229          229                                             LED Inflatable Ball Pit        £20.00        1.0      toys-and-games      8692617321610 1994-09-09  4179e95e-2681-4188-bdcd-5caf1b7ff20e  Still_avaliable  Z4-2971459N
1828        1828                                            Portable Power Washer 8L         £9.00        1.5                 diy      5404616213604 1994-09-17  4aa556d8-a8c4-46d9-bc70-937a0b6115cf  Still_avaliable  u6-0392027e
230          230                                         Choo Choo Train with Sounds        £25.00       1.75      toys-and-games      7510012527165 1994-09-29  add5f469-29e4-47bb-b8de-962bf99f672a  Still_avaliable   Z1-587826t
417          417                                 Norsk High Gloss Shelf 90cm - White        £14.00        2.8            homeware      1087641493032 1994-10-01  ec880f55-e34f-474e-b0a5-ffd3acbf9917  Still_avaliable  A1-8906239v
119          119                                       Science & Play Scorpion Robot        £24.99        1.2      toys-and-games      4516425309766 1994-10-06  444cf3ca-4535-4121-bae6-55e2482626a6  Still_avaliable  O1-4855617h
747          747             Charcoal Jasmine Sparkle Velvet Eyelet Curtain 46 x 72"        £24.99       2.05            homeware      6738749184739 1994-10-18  ef0159f2-69fe-4cbb-993a-b547710aa75f  Still_avaliable  O5-8777357v
512          512                          Oscar Velvet Double Duvet Set - Dark Green        £25.00        1.5            homeware      9323499862203 1994-10-22  aa1877f5-0d08-4440-af49-f0f693fbb36e  Still_avaliable  J5-5467655W
165          165                                 LEGO Formula E Porsche 99X Electric        £29.99        0.7      toys-and-games        93998408972 1994-11-04  557ed82a-331b-4196-b055-e814654f45d5  Still_avaliable  f7-6864343R
1268        1268                      Silentnight Extra Full 10.5 Tog Duvet - Double        £28.00       1.25            homeware       335059253894 1994-11-21  bacac592-ff67-4c28-87ce-a51b3d5e1d97  Still_avaliable  V8-0721970l
581          581                                               Michigan Desk - White        £50.00       20.0            homeware      9136013653818 1994-11-23  7b310b14-feab-4f3f-a458-e25ddf8c64b4  Still_avaliable  V8-6985308g
1513        1513                               Geo Microplush Rug 60 x 110cm - Ochre        £10.00       0.52            homeware      7014598688017 1994-11-24  8486e126-938d-45fa-aadd-e0928a7cd052  Still_avaliable  g5-1391804U
662          662                                    Tealight Holder - Christmas Tree         £2.50      0.165            homeware      7220914842739 1994-11-25  87b2e6dc-83cc-4658-9865-ed9ccaa815fc  Still_avaliable  S8-3968587E
1717        1717                                          Heinz Tomato Ketchup 300ml         £1.29        0.3      food-and-drink      5368732813554 1994-11-26  9c93a809-f944-4591-995b-5431529560f5  Still_avaliable  S9-9813867n
1728        1728                                             Jaffa Cakes Hamper 391g         £4.00      0.391      food-and-drink      3390908084712 1994-12-10  ec218e5b-58cd-4fba-b659-573c604cee1f  Still_avaliable  S9-4218027q
467          467                                       Cable Knit Sherpa Throw - Red        £15.00        0.9            homeware       222324979026 1994-12-13  955eec23-2b16-4d2d-bffe-2b5b8dd75774  Still_avaliable  H1-1111212H
1471        1471                                 Winston Check King Duvet Set - Navy        £25.00       1.58            homeware      4026213356488 1994-12-16  96f0a546-063a-4664-ac2e-676fefc9c106          Removed  s4-9513029b
1219        1219                                             Eucalyptus in Stone Pot        £12.00      0.512            homeware      5930403463087 1995-01-06  2d28b39e-8225-4213-be7f-2155651c9389  Still_avaliable  R4-6546343Y
1178        1178                                       Spaceways 2 Tier Garment Rail        £18.00        2.9            homeware      2270912720862 1995-01-11  151f41c4-d371-4c1c-b18d-4701082bdbcf  Still_avaliable  S6-4044107E
1690        1690                             Ocean Fresh Tuna Chunks in Oil 5 x 145g         £3.39   5 x 145g      food-and-drink      3487686391726 1995-02-06  883ff3f7-f6f4-427a-8c10-fe37e0bbf1ed  Still_avaliable  z3-5944487U
1693        1693                                           Lotus Biscoff Spread 200g         £1.25        0.2      food-and-drink       492584598712 1995-02-06  75c8f41a-45db-4da4-84ab-53ae26fc0862  Still_avaliable  W6-2827124s
846          846                                        Loft Studio Bar Stool - Grey        £65.00        8.4            homeware      2152911352414 1995-02-13  6ac45e71-c588-4e7d-a1bf-6e6fae959449  Still_avaliable  O4-1338863j
407          407                          Lokken 6 Cube Basket Storage Shelf - White        £38.00       13.7            homeware      6519442867507 1995-02-16  9804fd13-985f-4cf3-8bb6-03d82e1306fc  Still_avaliable  Y5-6174575A
643          643                                          Moden Velvet Chair - Blush        £60.00       6.25            homeware      6923172060716 1995-03-06  8ba4a768-37ca-40d7-86dc-c4a37e0451be  Still_avaliable  l0-5103169E
666          666                                           Moon Trinket Dish - Blush         £2.00      0.155            homeware      1148236340534 1995-03-08  2c542278-9b97-4f4b-83eb-1e600e365571  Still_avaliable  w2-0129990r
508          508                                               Ariana Velvet Cushion         £8.00       0.67            homeware      4059585689335 1995-03-19  ab659fc2-ab0b-4779-be04-13916d5f42ae  Still_avaliable   l0-082120C
1568        1568                     Skin Techniques Gold Hydrogel Collagen Lip Mask         £1.00      0.008   health-and-beauty      8422227232323 1995-03-24  e79c2b04-e2a7-4ab2-8f0d-12465c3bd6e9  Still_avaliable  v2-6182759P
599          599                 Heritage Collection Aspen Faux Fur Throw - Charcoal        £16.00       0.97            homeware      7413180874164 1995-03-29  0f3f12aa-9806-4a03-865c-a1d445fadca9  Still_avaliable  p1-3376164e
1642        1642                                             Fox's Brandy Snaps 100g         £1.00        0.1      food-and-drink      8419217465373 1995-03-30  6f7fda28-9040-43e4-ba21-a7e7feaa2215  Still_avaliable   X9-638565N
306          306             Bakers Meaty Meals Adult Small Dry Dog Food Chicken 1kg         £2.75        1.0                pets      6572231179236 1995-04-04  26889866-35a3-48c6-82cf-68286418ea01  Still_avaliable  v0-6461323R
1841        1841                                 Stanley Fibreglass Claw Hammer 16oz         £8.99       16oz                 diy       928787441710 1995-04-08  692e38f6-0949-492f-9012-61c728568272  Still_avaliable  A8-4686892S
1586        1586                                                    Galaxy Milk 200g         £2.00        0.2      food-and-drink      2142672029557 1995-04-17  3b08b5d3-bd7f-449b-a853-79cb246b1567  Still_avaliable  g3-2055701s
288          288                                        Crayola Ultimate Light Board        £16.99       1.18  sports-and-leisure      2622525021063 1995-04-20  2e698d6b-b367-446f-9755-e058a7ba6c13          Removed  C8-7456792M
785          785                       Really Useful Nestable Storage Boxes 5.5L 3pk        £20.00        1.4            homeware      1748642274579 1995-04-20  4d2fb2c0-6e16-4ff7-a505-ffe95fae061c  Still_avaliable  d7-5038198J
444          444                                             Lokken Bookcase - White        £32.00       13.0            homeware       605989342082 1995-05-04  1d778ea3-5904-4ee9-84e5-c7a6dc1284ac  Still_avaliable  V8-3409050q
261          261                                                     Sticker Machine        £12.99        3.1  sports-and-leisure      4135780702175 1995-05-09  bac99e11-bf0f-4444-bf14-52d9f2beadcf  Still_avaliable  M4-3815928A
1552        1552                                     Walls Cornetto Bath Fizzer 200g         £1.00        0.2   health-and-beauty      4742578310735 1995-05-17  6e686348-1bdb-42d8-ac67-36686d3b13ea  Still_avaliable  q2-4674649k
922          922                                       Wooden Fruit Ornament - Apple         £3.00       0.18            homeware      9753863332313 1995-05-27  cfb0ea31-7ea6-41ca-8961-dfaa4febf6b1  Still_avaliable  j3-4291888R
